yil,ay,sicaklik_C,yagis_mm
2000,1,3.8401184,26.517764806747437
2000,2,6.9378967,67.59359574317932
2000,3,8.529694,61.92008876800537
2000,4,14.574127,66.44598484039307
2000,5,17.790863,22.338365614414215
2000,6,22.340424,10.022630989551544
2000,7,26.316742,1.6027153506875038
2000,8,24.74887,3.040793478488922
2000,9,20.916412,15.344789028167725
2000,10,15.165192,69.38934254646301
2000,11,13.747589,20.34478783607483
2000,12,9.061188,30.666984796524048
2001,1,8.355377,82.5654866695404
2001,2,8.558502,54.51937198638916
2001,3,13.130524,24.361735820770264
2001,4,13.613983,106.52727127075195
2001,5,17.564789,27.800895512104034
2001,6,22.631378,5.482595711946487
2001,7,26.662506,13.461592853069305
2001,8,25.9794,10.185410648584366
2001,9,22.301056,20.644707083702087
2001,10,17.26242,4.922905504703522
2001,11,11.154327,144.38055038452148
2001,12,3.5036926,212.91018867492676
2002,1,5.1684875,37.83760988712311
2002,2,9.854034,37.00480890274048
2002,3,10.17984,64.645836353302
2002,4,11.758453,54.9165415763855
2002,5,17.591217,23.858691215515137
2002,6,23.21695,3.737805336713791
2002,7,26.627106,20.95553433895111
2002,8,25.07547,20.983579397201538
2002,9,21.172638,99.73580360412598
2002,10,16.497833,59.611406564712524
2002,11,13.131256,78.08366060256958
2002,12,6.5690002,86.4413070678711
2003,1,8.459869,94.27731585502625
2003,2,2.200348,108.52070140838623
2003,3,5.6159973,32.67670941352844
2003,4,10.129364,97.54265785217285
2003,5,18.619476,33.24069631099701
2003,6,23.609894,0.6501317024230957
2003,7,25.579742,2.3841722458601
2003,8,25.90451,0.5560338031500578
2003,9,20.113556,23.718280792236328
2003,10,16.848541,90.91453266143799
2003,11,11.376434,16.39580011367798
2003,12,7.3348694,85.06535863876343
2004,1,5.667389,175.25146627426147
2004,2,6.9078674,42.971317291259766
2004,3,9.4861145,42.89285635948181
2004,4,13.145966,51.14171862602234
2004,5,17.096283,16.9649875164032
2004,6,22.39914,35.256890058517456
2004,7,24.346222,5.9874411672353745
2004,8,24.767487,8.439590990543365
2004,9,21.249725,3.3501476794481277
2004,10,18.274261,13.99124589562416
2004,11,12.408478,52.598387002944946
2004,12,8.955841,100.08361482620239
2005,1,6.99942,89.48956727981567
2005,2,5.8215637,163.31323051452637
2005,3,8.923248,54.192254304885864
2005,4,13.246613,20.144829154014587
2005,5,18.313324,59.55571186542511
2005,6,21.407257,11.77888423204422
2005,7,25.15329,34.205617785453796
2005,8,25.587677,14.328017562627792
2005,9,21.887726,17.251444458961487
2005,10,15.224762,35.43350648880005
2005,11,10.75235,200.0859260559082
2005,12,9.087311,96.20285725593567
2006,1,3.4447327,88.28066229820251
2006,2,5.9359436,134.65009117126465
2006,3,9.232269,143.32935333251953
2006,4,13.535065,28.092355728149414
2006,5,17.740265,22.9303218126297
2006,6,22.485992,26.272752285003662
2006,7,24.406036,5.901466101408005
2006,8,26.588898,9.38126876950264
2006,9,20.976654,102.88644790649414
2006,10,16.046967,99.05028247833252
2006,11,10.186737,31.225590705871582
2006,12,7.315155,19.557588517665863
2007,1,9.220245,59.23387551307678
2007,2,7.80777,40.84256362915039
2007,3,9.865021,102.77106976509094
2007,4,12.54953,20.305264592170715
2007,5,19.122772,50.49074637889862
2007,6,24.638214,26.466166377067566
2007,7,26.408173,0.5544358510524035
2007,8,26.31253,6.448787271976471
2007,9,21.235504,7.040822356939316
2007,10,17.049469,95.75146818161011
2007,11,10.962311,149.2158079147339
2007,12,6.495636,71.61220812797546
2008,1,4.8265686,42.08995246887207
2008,2,6.269562,28.239088654518127
2008,3,12.138092,64.68205952644348
2008,4,14.78244,64.69338655471802
2008,5,18.240387,4.647623062133789
2008,6,23.36789,16.063576340675354
2008,7,25.419159,5.67255325615406
2008,8,25.903961,2.173587404191494
2008,9,20.5065,54.13022518157959
2008,10,16.43277,24.108099699020386
2008,11,12.914642,59.66300010681152
2008,12,8.627716,55.71826171875
2009,1,7.6305237,125.04843950271606
2009,2,7.394806,120.60525703430176
2009,3,9.019196,116.28240942955017
2009,4,12.332062,47.87276029586792
2009,5,18.516937,19.33928495645523
2009,6,23.134003,22.613927721977234
2009,7,26.253754,2.8116316497325897
2009,8,24.474579,2.658510260283947
2009,9,20.543854,45.018017292022705
2009,10,17.484894,89.86781525611877
2009,11,12.467804,49.083019495010376
2009,12,10.717316,132.94563817977905
2010,1,6.5261536,113.87740802764893
2010,2,9.162262,197.48048782348633
2010,3,9.224213,66.72596001625061
2010,4,13.397369,40.97256302833557
2010,5,19.266449,26.79550290107727
2010,6,23.242462,49.327311515808105
2010,7,25.943024,15.463527381420135
2010,8,27.980133,1.8993466272950172
2010,9,21.872162,41.209166049957275
2010,10,15.22641,298.3237953186035
2010,11,15.846954,36.33919715881348
2010,12,10.216461,114.85960960388184
2011,1,6.1063538,55.54949247837067
2011,2,5.8815002,41.48453760147095
2011,3,8.380707,48.151498794555664
2011,4,10.68338,75.35972356796265
2011,5,16.894012,32.4011664390564
2011,6,22.442657,18.63243341445923
2011,7,26.524445,2.1459458470344543
2011,8,24.65445,6.157276093959808
2011,9,22.751007,107.13574647903442
2011,10,13.8055725,107.68989729881287
2011,11,8.5961,4.26447406411171
2011,12,8.840485,107.9696753025055
2012,1,4.3348694,73.47119379043579
2012,2,4.3955383,91.45562314987183
2012,3,8.555206,36.233450293540955
2012,4,14.612579,53.54864001274109
2012,5,18.523346,153.24566316604614
2012,6,23.992584,3.6517585068941116
2012,7,27.472443,1.9676953703165054
2012,8,26.704742,3.927740156650543
2012,9,22.317596,13.676891326904297
2012,10,19.450897,81.53295993804932
2012,11,14.141205,71.25185966491699
2012,12,7.7669983,166.8471875190735
2013,1,7.5536194,152.5987606048584
2013,2,8.819855,137.43887329101562
2013,3,10.886444,69.44980812072754
2013,4,14.346893,48.22774887084961
2013,5,20.395172,17.437690317630768
2013,6,23.056793,41.07754826545715
2013,7,25.59732,2.0160108730196953
2013,8,26.165558,1.3387411013245583
2013,9,22.197662,8.610477447509766
2013,10,14.8280945,56.40455448627472
2013,11,13.220612,94.0911340713501
2013,12,6.6944885,17.67241108417511
2014,1,9.45816,86.10685801506042
2014,2,9.53952,14.152374982833862
2014,3,10.953644,90.99525690078735
2014,4,14.368317,83.44388008117676
2014,5,18.319244,55.923084139823914
2014,6,21.982758,102.50864267349243
2014,7,25.29007,18.13385558128357
2014,8,26.001923,15.480756670236588
2014,9,21.30069,39.71768260002136
2014,10,15.770172,66.72149586677551
2014,11,11.60379,51.12087607383728
2014,12,10.074738,189.91585731506348
2015,1,7.1131897,107.83767247200012
2015,2,7.2206116,100.15215873718262
2015,3,9.052521,87.29223012924194
2015,4,12.271759,74.12758111953735
2015,5,19.543793,23.96506953239441
2015,6,22.026642,26.211572885513306
2015,7,26.026886,0.3286764118820429
2015,8,26.53189,3.8762162774801254
2015,9,22.885773,102.29301452636719
2015,10,16.335663,92.23721432685852
2015,11,13.786041,46.9803786277771
2015,12,7.78067,3.9572444707155228
2016,1,6.9636536,110.04138803482056
2016,2,11.264435,95.54962992668152
2016,3,11.132965,64.81766176223755
2016,4,16.345001,22.64036536216736
2016,5,18.222565,62.351012229919434
2016,6,24.313019,14.862019121646881
2016,7,26.321686,1.185613937675953
2016,8,26.03128,2.590487875044346
2016,9,22.024689,11.085521578788757
2016,10,16.42392,24.359361469745636
2016,11,11.949127,116.65798902511597
2016,12,4.735138,32.463294982910156
2017,1,3.3835754,164.4642333984375
2017,2,8.125153,38.007832527160645
2017,3,10.239532,66.42675852775574
2017,4,13.197845,40.92842102050781
2017,5,18.02536,45.67944276332855
2017,6,23.899567,16.733561754226685
2017,7,25.291534,37.73692262172699
2017,8,25.45523,4.506938144564629
2017,9,22.521759,15.906811952590942
2017,10,15.526154,88.50866651535034
2017,11,11.9947815,68.64576816558838
2017,12,10.273712,128.59703922271729
2018,1,7.4725647,79.88598442077637
2018,2,8.233185,141.72523307800293
2018,3,12.017731,95.49317574501038
2018,4,15.661041,11.996042132377625
2018,5,19.689484,33.211753249168396
2018,6,23.51297,43.45279097557068
2018,7,26.394684,38.01597261428833
2018,8,26.078705,4.602789863944054
2018,9,22.113922,51.61776065826416
2018,10,16.876556,28.299906492233276
2018,11,12.321747,107.9382061958313
2018,12,7.001007,83.11009812355042
2019,1,7.2082825,159.7264404296875
2019,2,6.9065247,75.2012939453125
2019,3,10.384003,53.52750253677368
2019,4,12.896515,76.95334911346436
2019,5,19.013763,29.83080118894577
2019,6,24.48941,20.67629635334015
2019,7,25.037323,46.77157771587372
2019,8,25.490875,9.358716130256653
2019,9,22.056732,2.5118590146303177
2019,10,18.172821,29.551595985889435
2019,11,16.168,50.089287757873535
2019,12,9.706207,85.01405048370361
2020,1,6.1322327,70.17714667320251
2020,2,8.342926,73.95555758476257
2020,3,10.417023,53.54926526546478
2020,4,11.802826,77.07852602005005
2020,5,17.815094,53.01453924179077
2020,6,22.117462,48.41114044189453
2020,7,25.185577,1.4473676607012749
2020,8,25.68814,1.7075538039207458
2020,9,23.332062,4.770594835281372
2020,10,18.826569,56.63812780380249
2020,11,11.906769,8.499511778354645
2020,12,10.909821,114.96986818313599
2021,1,9.277252,216.17648267745972
2021,2,8.379547,80.65826797485352
2021,3,8.035553,84.04037809371948
2021,4,12.262848,76.16221189498901
2021,5,18.174286,53.114524364471436
2021,6,22.234894,30.721371173858643
